smoothness	なめらかさ|流暢さ|口当たりのよさ
rind	(rάɪnd)|(樹木･果物･ベーコン･チーズなどの硬い)皮|メロンなどの外皮
telly	テレビ|I saw it on the telly|それはテレビで見た
cosine	コサイン|余弦
wishful	を切望している
speechless	黙っている|口がきけない|言葉では表せないほどの|無言の
blackwater	ブラックウォーター
kea	ケア島
delightfully	愉快に|楽しく
coulomb	クーロン(1アンペアの電流が1秒間に送る電気量)
gatherer	集金人|徴税人
mussel	ムラサキガイ
concealment	隠匿|潜伏(場所)
dud	失敗|役たたず|不発弾
unruly	手に負えない|荒れ狂う
uncompromising	妥協(譲歩)しない;がんこな
unbounded	無限の
gazelle	ガゼル
chorale	合唱曲
organically	有機的に
pout	大頭の魚(ナマズ･ゲンゲ･イソギンポなど)|ビブ(タラの一種)|すねる|ふくれつらをする|不機嫌
meister	マイスター|親方
sortie	空中戦|出撃
ladle	取鍋|ひしゃく|おたまですくう|ひしゃくでくむ
roleplay	演技|芝居|実演|演じる|演戯|演ずる
seahorse	タツノオトシゴ(竜の落し子)
impasse	袋小路|難局|行き詰まり|手詰まり
reticulum	細網
coronal	(特に貴金属の)冠|王冠;(頭にかぶる)花(葉)の冠
transparently	透過的に
tantric	of or relating to Tantrism; "Tantric rituals"|of or relating to Tantrism
balancer	バランサ|平均棍|バランサ
disobey	に従わない
fatherhood	父権|父としての責任|(集合的)父
debussy	ドビュッシー
contemporaneous	同時発生する|同時代の
payphone	公衆電話(特に硬貨を入れて作動する)
magnetization	磁化|磁気誘導
refocus	焦点を再び合わせる
housework	家事
baldness	禿(はげ)|はげ頭
pistachio	ピスタシオノキ|ピスタシオ(ナッツ)
delicately	きめ細かに
irritability	被刺激性
lustrous	光沢のある
desertification	砂漠化
propylene	プロピレン(無色の引火性ガス)
aphrodisiac	催淫薬|媚薬
riemann	リーマン
superlative	最上級(の語･形)|誇張した表現|最高(の)
dictyostelium	細胞性粘菌
inadvertent	不注意の|うっかりした|不慮の接触
homophobia	同性愛(者)嫌い
eschaton	最後の審判の日|公審判
ethnography	記述人種学|民族誌(学)
hairspray	ヘアスプレー
antisense	(生化学)アンチセンス|「遺伝子配列に相補的で機能を失わせるような」の意
batten	(板の継ぎ目をふさぐ)小割り|小角材;(船舶の防水用の)当て木|(特に|防水のため)(船の甲板昇降口など)‘に'当て木をする《+『down』+『名』|+『名』+『down』》
heartily	心から|元気よく|すっかり
yellowish	黄色ががった|黄色っぽい
unsuccessfully	失敗して
intifada	インティファーダ
