cockiness	生意気|うぬぼれ|気どり
nonentity	非実在|取るに足りないこと(状態)
blandishment	ごきげん取り;甘言
streetwalker	売春婦|街娼婦|町の女
remonstrate	(人に〜について)忠告する|抗議する《+『with』+『名』〈人〉+『against』(『about|over』)+『名』(do『ing』)》
actomyosin	アクトミオシン(筋収縮を起こす複合体蛋白質)
perspicuous	(言葉・議論などが)理解しやすい|明快な
getup	(物の)作り|体裁|身なり;(特に)いっぷう変わった服装
improvident	(経済的に)将来への備えを怠る
polygynous	一夫多妻の|(植物が)多雌ずいの
luncheonette	軽食堂
carrycot	(乳児用の)携帯ベッド
rehear	(裁判で)〜‘を'再審理する
crookneck	首が長くねじれたカボチャ
prescript	規定|指令
bonhomie	(仏語)気さく|人のよさ|温容|温厚|快活
overdress	〜‘に'はでな服装をさせる|はでな服装をする
industrialize	産業化する|工業(産業)化する
coelenterate	腔腸(こうちょう)動物
disestablish	〈既成の制度など〉‘を'廃止する|〈教会〉‘の'国教制を廃止する
overact	大げさに演じる|演技し過ぎる|過剰な反応をする|やり過ぎる|演技過剰に陥る|必要以上のことをする
variorum	校異版(本);集注版(本)諸家の注を収めた|集注の　原典の異本を収めたラテン語「異なった(編者)の」の意
cherubic	＜cherub|ケラブ(智天使|9天使中の第 2 位で|知識を司る翼のある愛らしい天使)の|無邪気な
dephosphorylated	脱リン酸化
birdbrain	《俗》うすのろ|まぬけ
rotatory	（形容詞）回転する(させる)　交代する　循環する　輪番の
versification	作詩;作詩法|格調|韻律の形式
egotistic	自己中心の|自分本位の|うぬぼれの強い
incurably	不治で|矯正しようもなく
incontestably	疑いなく|明白に
unfaltering	とまらない|とどまることを知らない|ちゅうちょしない
whippy	(茎・枝・棒などが)しなやかな|弾力性のある
loftiness	非常に高いこと|高尚|高潔|高慢|尊大
predicable	断言(断定)できる
endosymbiont	細胞内共生
sculler	スカル(競走用の軽いボート)|スカルでこぐ人
containerization	コンテナによる貨物輸送
hardtack	堅パン|乾パン
turreted	小塔のある|砲塔(銃座)のある|(巻貝など)塔状の渦巻のある
connotative	含蓄のある|(論理学で)内包的な
acrophobia	高所恐怖症
clownish	おどけ者めいた|こっけいな
