croon	低音の歌い声|小声で唄う|口ずさむ
cronyism	縁故主義|(任命などで)知人を引き立てること
rhomboid	偏菱(へんりょう)形|長斜方形|ひし形の|長斜方形の
absentminded	放心した|ぼんやりしている|忘れっぽい
liposuction	(美容整形の)脂肪(吸出し)除去術
temptress	誘惑する女|妖婦
vender	=vendor
nucleolus	核小体
acquaintanceship	=acquaintance 2
yawl	(2本マストの)小型帆船|(オールでこぐ)船載ボート
snakebite	ヘビにかまれた傷
chondrocyte	軟骨細胞
uppercut	アッパーカット|上方に突き上げるような打撃|アッパーカットを食わせる
efflorescence	開花(期)|風解|風化
freehand	(絵などを)(器具の助けを借りずに)手でかいた|手がきで|自由行動(裁量)
paschal	(ユダヤ人の)過越(すぎこし)の祭り(Passover)の|《古》復活祭の
wisteria	フジ|藤
manometer	流体圧力測定器
hotpot	ホットポット(羊肉・じゃがいも・玉ねぎなどを煮こんだ料理)
nonadherence	不遵守の
bullfrog	ウシガエル|食用ガエル
ibidem	同じ箇所に|同書に|同章に|同節に
dissenter	反対者|国教反対者|非国教徒(Nonconformist)
mope	ふさぎ込む|落ち込む|意気消沈する
uppity	図々しい|生意気な
creosote	クレオソート(防腐剤)
perihelion	《通例単数形で》近日点(太陽系の天体が太陽に最も近づく位置)
mastodon	マストドン(第四紀洪積世の象に似た巨獣)
coiffure	ヘアスタイル
homelike	自宅のような|家庭的にくつろいだ気分の|気楽な
vacuolar	(生科学)|空胞|液胞|空胞の
dodo	ドードー(Dodo)は|マダガスカル沖のモーリシャス島に生息していた絶滅鳥類|目撃例が途絶え1681年に絶滅したとされる
mesmerism	催眠術(hypnotism)
curio	骨董品(=antique)
parterre	花壇をあしらった庭園|《おもに米》劇場の平土間
capstan	キャプスタン(テープレコーダー等の巻上げ装置)|碇を巻き上げる装置
disputable	議論の余地がある(questionable)
prithee	願わくは　何とぞ(please)
carload	(〜の)貨車1両分の貨物《+『of』+『名』》
pantograph	写図器(一端を固定して伸縮できるパンタグラフ状の器具;比率を変えて写図できる)|(電車の)パンタグラフ
hotshot	やり手|腕利き|うまい選手|急行貨車|有能な(ぶる)人|(スポーツの)名人
mailing	郵送
outbuilding	離れ(家)
outrigger	アウトリガー|舷外材|アウトリガー付きボート|クラッチ受け
heterodoxy	〈U〉(宗教上の)異端|〈C〉異端の教義|異説
coulomb	クーロン(1アンペアの電流が1秒間に送る電気量)
mandrake	マンドレーク|マンダラゲ(ナス科の植物で|麻酔性があり有毒;昔は魔力があると信じられていた)
cellist	チェロ奏者
poisoning	中毒|毒殺
unregenerate	悔い改めない|更生しない|強情な|がんこな
mitochondrion	ミトコンドリア|(複数形)mitochondria
foxglove	ジギタリス(釣り鐘状の紅紫色または白色の花をつける;葉は強心剤に用いる)
loll	ゆったり横になる|たれる
eclogue	田園詩|牧歌(対話形式の短詩)
retrievable	取り戻せる|回復できる;償い得る
windbreak	防風林|(塀などの)風よけ
forefather	祖先(ancestor)
crawfish	伊勢エビ|ザリガニ|ザリガニの身|けち|尻込みする人|取り消す
drumstick	太鼓(ドラム)のばち|《話》(料理した)鶏(七面鳥など)の足
arrant	(悪い意味で)評判の|この上ない
dacha	(ロシアの)いなかの邸宅(別荘)
maceration	水に浸して柔らかくすること|ふやけさせること
pathless	道のない|だれも足を踏み入れたことのない
peccary	ペッカリー(米大陸産;イノシシに似た動物)
dandruff	(頭の)ふけ
