astrodome	(飛行機の)天体観測窓
royalist	王党派
highchair	脚の高い幼児食事用いす
peasantry	小作農|小作農の地位|農民らしさ|田舎風
torte	トルテ
letterpress	〈U〉凸版印刷[物]|〈C〉《おもに英》(さし絵以外の)本文
satyr	サチュロス(ギリシア神話で半人半獣の酒色を好んだ森の神;ローマ神話のfaunにあたる)
dama	fallow deer
proteomic	プロテオーム解析またはプロテオミクスは|構造と機能を対象としたタンパク質の研究
abbreviate	短くする|省略する|短縮する
pinkish	桃色がかった|薄桃色の
tutelage	後見|保護|監督|指導
oolong	ウーロン茶|烏龍茶
waratah	straggling shrub with narrow leaves and conspicuous red flowers in dense globular racemes|tall shrub of eastern Australia having oblanceolate to obovate leaves and red flowers in compact racemes
