burg	(独語他に由来)|市|町|(地名接尾辞の一種|単語のあとにつけ場所を表す)
toffee	キャンディー|キャラメル cf|lollipop
rotator	回旋筋|回転するもの|回転装置|回転炉|交代するもの|交代する人|自転する惑星|ターンテーブル
classmate	級友
octagon	八角形
driftwood	流木|漂流木
thermos	(もと商標)魔法瓶|サーモス
anaesthetic	麻酔の|general anaesthetic全身麻痺|local anaesthetic局部麻酔
mythological	神話の
puller	引くもの|プーラー
horseman	騎手|乗馬者|馬術家
nervously	いらいらと|神経質に
amphitheater	円形競技場|階段教室
hypertensive	高血圧の
chaparral	(低木や灌木の)茂み|密集
gryphon	=griffin
tadpole	オタマジャクシ
prise	=prize
fennel	ウイキョウ(小さな黄色の花が咲き|葉と種は香料に用いる)
solidly	堅固に|満場一致して|連続して
bathrobe	バスローブ
bonny	かわいい|健康そうな
fallow	休閑(地)|作付けしてない|休閑中の|未開墾の|(土地)を休ませる|休閑地|耕したがまだ作付していない土地
wilt	(草花)しぼむ|しぼませる|弱らせる|衰えさせる|しおれる|しょげる|しょげさせる|立ち枯れ病
tabby	とら猫
bicarbonate	重炭酸塩
fixing	器具|固定
kickboxing	キックボクシング
wasteful	むだづかいの多い|浪費的した|浪費的な|荒廃をもたらす|破滅的な
oligonucleotide	オリゴヌクレオチドは20塩基対かそれ以下の短いヌクレオチド(DNAまたはRNA)の配列
substandard	低水準の|標準以下の
baboon	ヒヒ|ひひ
inaudible	聞き取れない
frantically	狂ったように
pippin	素晴らしい人･もの|美人|生食用リンゴの一種|種子
epidemiologic	疫学的な
dragoon	竜騎兵(重装備をした昔の騎兵)|〈人〉‘に'むりやり(〜)させる《+『名』〈人〉+『into』 do『ing』》
